Sydney Swans,Melbourne,SCG,86 - 64
Brisbane Lions,Carlton,Gabba,85 - 86
Gold Coast Suns,Richmond,People First Stadium,99 - 60
GWS Giants,Collingwood,ENGIE Stadium,114 - 82
Carlton,Richmond,MCG,86 - 81
Collingwood,Sydney Swans,MCG,69 - 102
Essendon,Hawthorn,MCG,107 - 83
GWS Giants,North Melbourne,ENGIE Stadium,121 - 82
Geelong Cats,St Kilda,GMHBA Stadium,76 - 68
Gold Coast Suns,Adelaide Crows,People First Stadium,60 - 54
Melbourne,Western Bulldogs,MCG,109 - 64
Port Adelaide,West Coast Eagles,Adelaide Oval,120 - 70
Fremantle,Brisbane Lions,Optus Stadium,93 - 70
St Kilda,Collingwood,MCG,94 - 79
Adelaide Crows,Geelong Cats,Adelaide Oval,77 - 96
North Melbourne,Fremantle,Marvel Stadium,76 - 102
Hawthorn,Melbourne,MCG,38 - 93
Sydney Swans,Essendon,SCG,131 - 101
Western Bulldogs,Gold Coast Suns,Mars Stadium,115 - 67
Richmond,Port Adelaide,MCG,92 - 122
West Coast Eagles,GWS Giants,Optus Stadium,43 - 108
Brisbane Lions,Collingwood,Gabba,72 - 92
North Melbourne,Carlton,Marvel Stadium,81 - 137
Fremantle,Adelaide Crows,Optus Stadium,69 - 34
Essendon,St Kilda,Marvel Stadium,71 - 67
Port Adelaide,Melbourne,Adelaide Oval,89 - 96
Western Bulldogs,West Coast Eagles,Marvel Stadium,106 - 30
Richmond,Sydney Swans,MCG,82 - 77
Hawthorn,Geelong Cats,MCG,70 - 106
Adelaide Crows,Melbourne,Adelaide Oval,63 - 78
Brisbane Lions,North Melbourne,Norwood Oval,112 - 42
Port Adelaide,Essendon,Adelaide Oval,111 - 42
West Coast Eagles,Sydney Swans,Adelaide Hills,78 - 104
Fremantle,Carlton,Adelaide Oval,63 - 73
Western Bulldogs,Geelong Cats,Adelaide Oval,91 - 95
Gold Coast Suns,GWS Giants,Adelaide Hills,89 - 117
Richmond,St Kilda,Norwood Oval,60 - 67
Collingwood,Hawthorn,Adelaide Oval,77 - 72
Melbourne,Brisbane Lions,MCG,60 - 82
Western Bulldogs,Essendon,Marvel Stadium,67 - 96
GWS Giants,St Kilda,Manuka Oval,80 - 79
Carlton,Adelaide Crows,Marvel Stadium,98 - 100
Gold Coast Suns,Hawthorn,People First Stadium,109 - 56
Port Adelaide,Fremantle,Adelaide Oval,66 - 63
Geelong Cats,North Melbourne,GMHBA Stadium,139 - 64
West Coast Eagles,Richmond,Optus Stadium,109 - 70
St Kilda,Western Bulldogs,Marvel Stadium,64 - 124
Adelaide Crows,Essendon,Adelaide Oval,75 - 78
Collingwood,Port Adelaide,MCG,123 - 81
Carlton,GWS Giants,Marvel Stadium,117 - 98
Brisbane Lions,Geelong Cats,Gabba,37 - 63
West Coast Eagles,Fremantle,Optus Stadium,105 - 68
Sydney Swans,Gold Coast Suns,SCG,110 - 57
North Melbourne,Hawthorn,Marvel Stadium,68 - 113
Richmond,Melbourne,MCG,42 - 85
Essendon,Collingwood,MCG,85 - 85
GWS Giants,Brisbane Lions,Manuka Oval,113 - 59
Port Adelaide,St Kilda,Adelaide Oval,82 - 72
North Melbourne,Adelaide Crows,Blundstone Arena,81 - 138
Geelong Cats,Carlton,MCG,118 - 105
Fremantle,Western Bulldogs,Optus Stadium,95 - 71
